# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-9824272       4       0.3963        0.214
R-HSA-75876         7      0.19247      0.30529
R-HSA-5576893       5      0.75763     0.047177
R-HSA-5368286       4     -0.73588      0.92946
R-HSA-5389840       4     -0.73588      0.92946
R-HSA-5419276       4     -0.73588      0.92946
R-HSA-140875        2     -0.37119      0.70019
R-HSA-4641258       6      0.94999    0.0099831
R-HSA-5632684       8      0.66297     0.030722
R-HSA-9706019       2      0.39312      0.28912
R-HSA-1474244       2     -0.65082      0.82097
R-HSA-186797        6     -0.24073       0.7222
R-HSA-2214320       4       0.1008      0.42017
R-HSA-419037       13      0.23706       0.1964
R-HSA-196819        2       1.3409     0.028959
R-HSA-1169091       5      0.83531     0.030894
R-HSA-1236974       4      0.48096      0.16808
R-HSA-1236978       2      0.79191      0.13137
R-HSA-174084        2      0.79191      0.13137
R-HSA-174113        2      0.79191      0.13137
R-HSA-174154        2      0.79191      0.13137
R-HSA-174178        3      0.90145      0.05922
R-HSA-174184        2      0.79191      0.13137
R-HSA-180534        2      0.79191      0.13137
R-HSA-180585        2      0.79191      0.13137
R-HSA-187577        2      0.79191      0.13137
R-HSA-195253        7     0.099638      0.39604
R-HSA-211733        2      0.79191      0.13137
R-HSA-2871837       6      0.93533     0.010979
R-HSA-349425        2      0.79191      0.13137
R-HSA-350562        2      0.79191      0.13137
R-HSA-382556        9      0.40708        0.111
R-HSA-450408        2      0.79191      0.13137
R-HSA-4608870       3      0.44716      0.21932
R-HSA-4641257       4      0.56735      0.12825
R-HSA-5362768       2      0.79191      0.13137
R-HSA-5607761       3      0.61152      0.14476
R-HSA-5607764       5      0.83074     0.031614
R-HSA-5610780       3        1.431    0.0065972
R-HSA-5610783       3      0.65145      0.12959
R-HSA-5610785       3      0.65145      0.12959
R-HSA-5668541       5     0.010799      0.49037
R-HSA-5676590       3      0.61152      0.14476
R-HSA-5678895       2      0.79191      0.13137
R-HSA-68867         2      0.79191      0.13137
R-HSA-68949         2      0.79191      0.13137
R-HSA-69017         2      0.79191      0.13137
R-HSA-69481         2      0.79191      0.13137
R-HSA-69601         2      0.79191      0.13137
R-HSA-75815         3      0.65145      0.12959
R-HSA-8852276       2      0.79191      0.13137
R-HSA-8854050       3      0.87406     0.065023
R-HSA-9020702       4       1.1017     0.013785
R-HSA-9604323       3      0.41845      0.23429
R-HSA-9762114       3      0.65145      0.12959
R-HSA-9907900       3      0.18414      0.37488
R-HSA-114508       11      0.91636    0.0011859
R-HSA-9749641       4       0.3673      0.23129
R-HSA-9824585      10     0.049088      0.43832
R-HSA-447041        4      0.89352     0.037475
R-HSA-6785470       2      0.51109      0.23491
R-HSA-1663150       5     0.018393       0.4836
R-HSA-9840310       7      0.16254      0.33358
R-HSA-112043        6      0.48562      0.11826
R-HSA-139853        5      0.70726     0.056884
