# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-6811434       SET      11     0.041881    0.0024816      0.34832      0.45215
R-HSA-983189        SET       9       -0.171   -0.0091681      0.38446      0.67175
R-HSA-6811440       SET      12      0.26857     0.016619      0.34763      0.21991
R-HSA-8856825       SET      21     -0.03015   -0.0024644      0.25657      0.54677
R-HSA-8856828       SET      24     0.020965    0.0018311      0.24007      0.46521
R-HSA-166016        SET       2      0.53982     0.013659      0.82317      0.25601
R-HSA-177504        SET       2      0.19696    0.0049835      0.82284      0.40542
R-HSA-437239        SET       6      0.31455     0.013776      0.47549      0.25416
R-HSA-5669034       SET       2      -1.8483    -0.046765      0.82268      0.98763
R-HSA-2672351       SET      15      0.53384     0.036914      0.29984     0.037552
R-HSA-204005        SET      13     -0.20067    -0.012922      0.32331      0.73257
R-HSA-5658442       SET       7     -0.16327   -0.0077226      0.41328      0.65359
R-HSA-428890        SET       4     -0.18245   -0.0065263      0.58169       0.6231
R-HSA-9706369       SET       2       1.8114     0.045832      0.82047     0.013669
R-HSA-114608        SET      13     -0.32605    -0.020996      0.32293      0.84363
R-HSA-975957        SET       7     -0.19743   -0.0093382      0.39097      0.69319
R-HSA-6784531       SET       8     -0.47165    -0.023845      0.41212      0.87373
R-HSA-1482788       SET       5      0.55409     0.022157      0.56502      0.16342
R-HSA-1482798       SET       3     -0.87079     -0.02698      0.67389       0.9018
R-HSA-1482801       SET       6      0.57437     0.025155      0.50853      0.12939
R-HSA-1482839       SET       5      0.55409     0.022157      0.56502      0.16342
R-HSA-1482922       SET       3      0.63639     0.019718      0.67245      0.17201
R-HSA-1482925       SET       5      0.47365      0.01894      0.56506      0.20098
R-HSA-1483115       SET       2      0.63222     0.015997       1.0406      0.27176
R-HSA-8876198       SET      25     -0.66799    -0.059536      0.23297      0.99792
R-HSA-2980767       SET       2       1.0575     0.026758      0.82363     0.099621
R-HSA-3301854       SET       7     -0.14059   -0.0066498      0.44036      0.62523
R-HSA-210747        SET       2     -0.25655   -0.0064912      0.82255      0.62243
R-HSA-4090294       SET       8     0.038163    0.0019293      0.40205      0.46219
R-HSA-351906        SET       3        0.438     0.013571      0.66564      0.25529
